user_id,snr,code_rate,max_transmission_latency,acceptance_of_distortion,quantify_bits,decomposition_rank,experience_bitstream_length,available_bandwidth
1,15.9133490288757,0.833333333333333,7.41695603093709e-05,medium,1,2,610.0,1.85415031022481
2,29.934905939852,0.9,5.15475340268762e-05,high,1,2,610.0,1.32204848993831
3,10.6166083921735,0.75,0.00048450623171194,low,4,0,706.9108,0.53344800390336
4,17.4010265390099,0.9,0.000196976814429529,low,4,2,698.6195,0.678684866925788
5,8.97411397928376,0.666666666666667,0.000181351927036407,high,1,2,610.0,1.60011657456532
6,14.2800782301008,0.75,0.00022165424251414,high,1,2,610.0,0.764994731368874
7,24.1369688135467,0.9,0.000185709052662291,medium,3,0,640.602,0.477682137508624
8,13.2589109476722,0.9,0.000337679236944471,high,1,2,610.0,0.448921939525454
9,18.3288748892621,0.9,0.000422698363363071,low,4,2,698.6195,0.30056832001912
10,6.93870389231306,0.75,0.000196283234194074,medium,3,2,643.0348,1.69907172429885
11,18.7350012550192,0.888888888888889,0.000412556088462806,high,1,2,610.0,0.266452161353899
12,24.0732739528319,0.5,0.000245048768236606,low,3,2,643.0348,0.655813835961576
13,28.2733927534159,0.9,0.000132403075806603,high,1,2,610.0,0.544906395413503
14,11.9095508677783,0.75,0.000396196964738032,high,1,2,610.0,0.507335326122003
15,23.9518109523309,0.9,8.74277336170796e-05,low,4,2,698.6195,1.11507518166675
16,28.3792440241682,0.9,0.000121757597243393,high,1,2,610.0,0.590342107390707
17,6.59989200937159,0.5,0.000367804532300728,high,1,2,610.0,1.33863794966065
18,12.3260652430803,0.75,0.000190294198618099,high,3,0,640.602,1.07465410194818
19,20.8773437078154,0.9,0.000193924958105313,low,4,2,698.6195,0.57618834013585
20,28.6867691928913,0.9,0.000375352536675343,medium,4,0,706.9108,0.219544211676832
